file,class,method,constructor,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaDP.java,PersonaDP,PersonaDP/1[java.lang.String],true,21,0,1,1,6,0,1,1,21,0,0,0,0,1,0,4,0,0,0,0,0,7,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaDP.java,PersonaDP,getTelefono/0,false,41,0,1,0,3,1,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,2,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaDP.java,PersonaDP,getNext/0,false,47,1,1,0,3,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,5,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaDP.java,PersonaDP,setId/1[java.lang.String],false,53,0,1,0,3,0,0,1,53,0,0,0,0,0,0,1,0,0,0,0,0,3,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaDP.java,PersonaDP,setNext/1[PersonaDP],false,68,1,1,0,3,0,0,1,68,0,0,0,0,0,0,1,0,0,0,0,0,6,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaDP.java,PersonaDP,setNombre/1[java.lang.String],false,58,0,1,0,3,0,0,1,58,0,0,0,0,0,0,1,0,0,0,0,0,3,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaDP.java,PersonaDP,setTelefono/1[java.lang.String],false,63,0,1,0,3,0,0,1,63,0,0,0,0,0,0,1,0,0,0,0,0,3,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaDP.java,PersonaDP,getNombre/0,false,36,0,1,0,3,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,2,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaDP.java,PersonaDP,PersonaDP/0,true,13,0,1,0,5,0,0,0,13,0,0,0,0,3,0,3,0,0,0,0,0,3,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaDP.java,PersonaDP,toString/0,false,74,0,1,0,3,1,0,0,74,0,0,0,0,2,0,0,1,0,0,0,0,2,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaDP.java,PersonaDP,getId/0,false,31,0,1,0,3,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,2,1
