file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
src/main/java/com/squareup/okhttp/OkHttpsConnection.java,com.squareup.okhttp.OkHttpsConnection,class,2,24,3,5,59,14,4,13,0,1,0,3,0,0,4,2,0,3,1,0,0,0,2,138,7,0,8,0,6,5,6,10,0,6,1,0,0,0,213,1025
src/main/java/com/squareup/okhttp/OkHttpConnection.java,com.squareup.okhttp.OkHttpConnection,class,3,38,2,16,157,19,4,18,0,1,0,2,0,0,44,38,36,2,6,0,37,0,2,398,17,1,3,0,0,15,57,60,6,50,2,0,0,0,578,1025
src/main/java/libcore/util/MutableDouble.java,libcore.util.MutableDouble,class,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,17
src/main/java/libcore/util/IntegralToString.java,libcore.util.IntegralToString,class,2,4,1,0,1,2,1,1,1,0,0,0,0,0,2,2,0,2,0,0,2,0,0,24,1,1,0,0,1,0,5,7,2,5,1,0,0,0,100,17
src/main/java/libcore/util/Objects.java,libcore.util.Objects,class,0,4,1,2,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,3,0,2,0,1,0,0,0,0,0,0,0,15,17
src/main/java/libcore/util/MutableFloat.java,libcore.util.MutableFloat,class,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,17
src/main/java/libcore/util/MutableShort.java,libcore.util.MutableShort,class,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,17
src/main/java/libcore/util/MutableBoolean.java,libcore.util.MutableBoolean,class,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,17
src/main/java/libcore/util/DefaultFileNameMap.java,libcore.util.DefaultFileNameMap,class,1,4,1,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,2,0,0,0,0,3,2,5,1,3,1,0,0,0,19,0
src/main/java/libcore/util/ExtendedResponseCache.java,libcore.util.ExtendedResponseCache,interface,2,3,1,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,52,1
src/main/java/libcore/util/BasicLruCache.java,libcore.util.BasicLruCache,class,3,15,1,12,8,8,0,5,1,2,0,0,4,4,2,0,0,2,0,0,2,0,0,77,5,1,5,0,0,1,4,8,0,7,1,0,0,0,97,1
src/main/java/libcore/util/Charsets.java,libcore.util.Charsets,class,0,1,1,1,0,1,0,0,1,0,0,0,0,0,3,3,3,0,0,0,3,0,3,21,0,0,0,0,0,3,0,3,0,3,0,0,0,0,51,17
src/main/java/libcore/util/CollectionUtils.java,libcore.util.CollectionUtils$Anonymous1,anonymous,6,16,3,14,3,8,2,6,2,0,0,0,0,0,3,0,0,3,0,0,1,0,1,139,4,2,4,0,0,0,4,9,1,7,4,4,-2,0,56,15
src/main/java/libcore/util/MutableInt.java,libcore.util.MutableInt,class,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,17
